MOLAXOLE,COMBINATII,PULB. PT. SOL. ORALA,,MEDA AB - SUEDIA,"Cutie cu 30 plicuri din hartie/PEJD/Al/PEJD cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
MOLAXOLE,COMBINATII,PULB. PT. SOL. ORALA,,MEDA AB - SUEDIA,"Cutie cu 40 plicuri din
hartie/PEJD/Al/PEJD cu pulb. pt. sol.",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",,
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 50 plicuri din hartie/PEJD/Al/PEJD cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 60 plicuri din hartie/PEJD/Al/PEJD cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 100 plicuri din hartie/PEJD/Al/PEJD cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 2 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 6 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 8 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 10 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt.
comercializare; 6 h-dupa reconstituire",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,sau dilutie,,
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 20 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 30 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 40 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 50 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 60 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 100 plicuri din hartie/PE/Al/copolymer etilen-acid metacrilic (Surlyn) cu pulb. pt. sol. orala - 3 ani-dupa ambalarea pt. comercializare; 6 h-dupa reconstituire
sau dilutie",OTC,A06AD65
MUCOGRIP 200 mg/30 mg,"COMBINATII (IBUPROFENUM+PSEUDOEFED
RINUM)",COMPR. FILM.,200mg/30mg,"BOEHRINGER INGELHEIM INTERNATIONAL GMBH -
GERMANIA",Cutie cu blist. PVC-PVDC/Al x 10 compr. film. - 15 luni,OTC,R05X
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu blist. PVC-PVDC/Al x 20
compr. film. - 15 luni",OTC,R05X
MUCONASAL SPRAY 1.18 mg/ml,TRAMAZOLINUM,SPRAY NAZAL - SOL.,1.18mg/ml,BOEHRINGER INGELHEIM INT. GMBH - GERMANIA,"Cutie x 1 flacon x 10 ml spray nazal. solutie + pompa dozatoare + aplicator
nazal - 5 ani",OTC,R01AA09
MUCOSIN 30 mg COMPRIMATE,AMBROXOLUM,COMPR.,30 mg,ZENTIVA A.S. - REPUBLICA SLOVACA,"Cutie cu blist. din PVC-PVdC/Al x 20
compr. - 2 ani",OTC,R05CB06
MUCOSIN 30 mg COMPRIMATE,AMBROXOLUM,COMPR.,30 mg,ZENTIVA A.S. - REPUBLICA SLOVACA,"Cutie cu blist. din PVC-PVdC/Al x 30
compr. - 2 ani",OTC,R05CB06
MUCOSIN 750 mg/15 ml sirop EXPECTORANT pentru adulti,CARBOCISTEINUM,SIROP,5%,SANOFI-AVENTIS OTC - FRANTA,"Cutie x 1 flacon din sticla incolora x 125 ml sirop + masura dozatoare - 3
ani",OTC,R05CB03
MUCOSIN CU MIERE 15mg/5ml,AMBROXOLUM,SIROP,15mg/5ml,ZENTIVA. K.S. - CEHIA,"Cutie cu 1 flac. din sticla bruna x 100 ml sirop si 1 seringa dozatoare - 2 ani-dupa ambalarea pentru
comercializare;Dupa prima deschidere
a flaconului - 6 luni",OTC,R05CB06
MUCOSOLVAN,AMBROXOLUM,COMPR.,30mg,"BOEHRINGER INGELHEIM
INTERNATIONAL GMBH - GERMANIA",Cutie x 2 blist. Al/PVC x 10 compr. - 5 ani,OTC,R05CB06
MUCOSOLVAN,AMBROXOLUM,GUMA ORALA,15mg,BOEHRINGER INGELHEIM INTERNATIONAL GMBH - GERMANIA,Cutie x 2 blist. Al/PVC x 10 gume orale - 3 ani,OTC,R05CB06
MUCOSOLVAN,AMBROXOLUM,GUMA ORALA,15mg,BOEHRINGER INGELHEIM INTERNATIONAL GMBH - GERMANIA,"Cutie x 3 blist. Al/PVC x 10 gume
orale - 3 ani",OTC,R05CB06
MUCOSOLVAN,AMBROXOLUM,GUMA ORALA,15mg,BOEHRINGER INGELHEIM INTERNATIONAL GMBH - GERMANIA,"Cutie x 5 blist. Al/PVC x 10 gume
orale - 3 ani",OTC,R05CB06
MUCOSOLVAN,AMBROXOLUM,GUMA ORALA,15mg,BOEHRINGER INGELHEIM INTERNATIONAL GMBH - GERMANIA,"Cutie x 10 blist. Al/PVC x 10 gume
orale - 3 ani",OTC,R05CB06
MUCOSOLVAN 30 mg/5 ml,AMBROXOLUM,SIROP,30mg/5ml,"BOEHRINGER INGELHEIM INTERNATIONAL GMBH -
GERMANIA",Cutie x 1 flac. sticla bruna x 100 ml + lingurita dozatoare - 3 ani,OTC,R05CB06
"MUCOSOLVAN JUNIOR 15 mg/5
ml",AMBROXOLUM,SIROP,15mg/5ml,"BOEHRINGER INGELHEIM INTERNATIONAL GMBH -
GERMANIA","Cutie x 1 flac. din sticla bruna x 100 ml
+ lingurita dozatoare - 3 ani",OTC,R05CB06
MUCOSOLVAN MAX,AMBROXOLUM,CAPS. ELIB. PREL.,75mg,BOEHRINGER INGELHEIM PHARMA GMBH&CO.KG - GERMANIA,Cutie x 1 blist. PVC-PVDC/Al x 10 caps. elib. prel. - 3 ani,OTC,R05CB06
MUCOSOLVAN MAX,AMBROXOLUM,CAPS. ELIB. PREL.,75mg,BOEHRINGER INGELHEIM PHARMA GMBH&CO.KG - GERMANIA,"Cutie x 2 blist. PVC-PVDC/Al x 10
caps. elib. prel. - 3 ani",OTC,R05CB06
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie x 5 blist. PVC-PVDC/Al x 10
caps. elib. prel. - 3 ani",OTC,R05CB06
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie x 10 blist. PVC-PVDC/Al x 10
caps. elib. prel. - 3 ani",OTC,R05CB06
MUCOVIM 100 mg,ACETYLCYSTEINUM,PULB. PT. SOL. ORALA,100 mg,VIM SPECTRUM SRL - ROMANIA,"Cutie cu 10 plicuri unidoza din
PE-Al-hartie x 3 g pulb. pt. sol. orala - 2 ani",OTC,R05CB01
MUCOVIM 200,ACETYLCYSTEINUM,CAPS.,200mg,VIM SPECTRUM SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 caps. - 2
ani",OTC,R05CB01
MULTISIS V,COMBINATII,DRAJ.,,FELSIN FARM S.R.L. - ROMANIA,"Cutie cu 4 blist. PVC/Al x 10 draj. - 3
ani",OTC,A11JAN1
N - ANTIGRIPAL,COMBINATII,COMPR.,,MEDUMAN SA - ROMANIA,Cutie x 1 flac. x 20 compr. - 2 ani,OTC,N02BE51
N - CALMANT III,COMBINATII,COMPR.,,MEDUMAN SA - ROMANIA,Cutie x 1 flac. x 20 compr. - 2 ani,OTC,N02BE51
N - PARACETAMOL,PARACETAMOLUM,COMPR.,500mg,MEDUMAN  SA - ROMANIA,Cutie x 1 flac. x 20 compr. - 2 ani,OTC,N02BE01
NAABAK,"ACIDUM N-ACETIL ASPARTIL
GLUTAMICUM",PIC. OFT..SOL.,49mg/ml,LABORATOIRES THEA - FRANTA,"Cutie x 1 flac. din PEJD x 10 ml
pic.oft.. sol. - 2 ani",OTC,S01GX03
NAFA-GAL  0.3 mg/ml,NAPHAZOLINUM,"PICATURI OFT..
SOL.",0.3mg/ml,"RANBAXY UK LIMITED - MAREA
BRITANIE","Cutie x 1 flacon din PEJD opaca  x
10ml pic. oft.. sol. - 2 ani",OTC,S01GA01
NAFA-GAL 0.3mg/ml,NAPHAZOLINUM,"PICATURI OFT..
SOL.",,TERAPIA S.A. - ROMANIA,"Cutie x 1 flacon din PEJD opaca  x
10ml pic. oft.. sol. - 2 ani",OTC,S01GA01
NAFTIFINA ATB 10 mg/g,NAFTIFINUM,CREMA,10mg/g,ANTIBIOTICE S.A. - ROMANIA,"Cutie cu 1 tub din Al x 15 g crema - 4
ani",OTC,D01AE22
NALGESIN 220 mg,NAPROXENUM,COMPR. FILM.,220mg,KRKA. D.D.. NOVO MESTO - SLOVENIA,"Cutie cu blist. PVC/Al x 10 compr. film.
- 2 ani",OTC,M01AE02
NALGESIN 220 mg,NAPROXENUM,COMPR. FILM.,220mg,KRKA. D.D.. NOVO MESTO - SLOVENIA,"Cutie cu blist. PVC/Al x 20 compr. film.
- 2 ani",OTC,M01AE02
NALGESIN 220 mg,NAPROXENUM,COMPR. FILM.,220mg,KRKA. D.D.. NOVO MESTO - SLOVENIA,"Cutie cu blist. PVC/Al x 30 compr. film.
- 2 ani",OTC,M01AE02
NASIC,"COMBINATII (DEXPANTENOLUM +
XYLOMETAZOLINUM)",SPRAY NAZ..SOL.,,CASSELLA-MED GMBH&CO KG - GERMANIA,Cutie x 1 flacon x 10 ml spray nazal. sol. - 3 ani,OTC,R01AB06
NASIC PENTRU COPII,"COMBINATII (DEXPANTENOLUM +
XYLOMETAZOLINUM)",SPRAY NAZ..SOL.,,CASSELLA-MED GMBH&CO KG - GERMANIA,Cutie x 1 flacon x 10 ml spray nazal. sol. - 3 ani,OTC,R01AB06
NASIVIN  0.5 mg/ml,OXYMETAZOLINUM,PICATURI NAZALE-SOL.,,MERCK SELBSTMEDIKATION - GERMANIA,"Cutie cu 1 flac. din sticla de culoare bruna x 10 ml pic. nazale. sol. cu capac din PP cu picurator din sticla incolora. prevazut cu o para pt. aspiratie - 2 ani-dupa ambalarea pt.
comercializare; dupa prima",OTC,R01AA05
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,deschidere-6 luni,,
NEDIS 20 mg,PANTOPRAZOLUM,"COMPR. FILM.
GASTROREZ.",20mg,"DR. REDDY'S LABORATORIES
ROMÂNIA S.R.L. - ROMANIA","Cutie cu un blist. din OPA-Al-PVC/Al x
14 compr. film. gastrorezistente - 3 ani",OTC,A02BC02
NEO - ENTEROSEPTOL,LOPERAMIDUM,CAPS.,2mg,"SPECIFAR SA
PHARMACEUTICALS - GRECIA",Cutie x 1 blist. Al/PVC x 6 caps. - 5 ani,OTC,A07DA03
NEO-ANGIN,COMBINATII,PASTILE,,DIVAPHARMA GMBH - GERMANIA,"Cutie x 2 blist. PVC-PVDC/Al x 12
pastile - 2 ani",OTC,R02AA03
NEO-ANGIN FARA ZAHAR,COMBINATII,PASTILE,,DIVAPHARMA GMBH - GERMANIA,"Cutie x 2 blist. PVC-PVDC/Al x 12
pastile - 2 ani",OTC,R02AA20
NEO-BRONCHOL 15 mg,AMBROXOLUM,PASTILE,15mg,"FARMACEUTICA REMEDIA S.A. -
ROMANIA","Cutie cu 2 blist. PVC/Al x 10 pastile - 4
ani",OTC,R05CB06
NEOCOPIRIN,COMBINATII,COMPR.,,"CSC PHARMACEUTICALS SA -
LUXEMBOURG","Cutie x 2 blist. Al/PVC x 10 compr. - 2
ani",OTC,N02BA51
NEOLIN,COMBINATII,COMPR.,,"HEALTH ADVISORS S.R.L. -
ROMANIA","Cutie x 2 blist. PVC/Al  x 10 compr. - 2
ani",OTC,N02BA51
NEVRALGISTOP,COMBINATII,COMPR.,,FABIOL S.A. - ROMANIA,"Cutie x 2 blist. PVC/Al x 10 compr. - 2
ani",OTC,N02BA71
NEVRALMED,COMBINATII,COMPR.,,LABORMED PHARMA SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 2
ani",OTC,N02BE51
NEVRALMED,COMBINATII,COMPR.,,LABORMED PHARMA SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 10 compr. - 2
ani",OTC,N02BE51
"NICORETTE FRESHMINT 1
mg/spray",NICOTINUM,"SPRAY BUCOFARINGIAN
.SOL",1mg/spray,MCNEIL AB - SUEDIA,"Cutie cu 1 flac. din PET introdus
intr-un dispozitiv cu pompa mecanica de pulverizare a 13.2 ml spray bucofaringian. sol. - 2 ani",OTC,N07BA01
"NICORETTE FRESHMINT 1
mg/spray",NICOTINUM,"SPRAY BUCOFARINGIAN
.SOL",1mg/spray,MCNEIL AB - SUEDIA,"Cutie cu 2 flac. din PET introdus
intr-un dispozitiv cu pompa mecanica de pulverizare a 13.2 ml spray bucofaringian. sol. - 2 ani",OTC,N07BA01
"NICOTINAT DE METIL - RICHTER
30mg/g",METHYLII NICOTINAS,UNGUENT,30mg/g,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA","Cutie x 1 tub din Al x 50 g unguent - 3
ani",OTC,M02AX10
NIQUITIN CLEAR 14 mg,NICOTINUM,PLASTURE TRANSDERMIC,78mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 7 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01
NIQUITIN CLEAR 14 mg,NICOTINUM,PLASTURE TRANSDERMIC,78mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 14 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01
NIQUITIN CLEAR 21 mg,NICOTINUM,PLASTURE TRANSDERMIC,114mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 7 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01
NIQUITIN CLEAR 21 mg,NICOTINUM,PLASTURE TRANSDERMIC,114mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 14 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01
NIQUITIN CLEAR 7mg,NICOTINUM,PLASTURE,36mg,GLAXOSMITHKLINE CONSUMER,Cutie x 7 plicuri x 1 plasture,OTC,N07BA01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,transdermic - 2 ani,,
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie x 14 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01
NO-SPA 40 mg,DROTAVERINUM,COMPR.,40mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 20 compr. -
3 ani",OTC,A03AD02
NO-SPA 40 mg,DROTAVERINUM,COMPR.,40mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 24 compr. -
3 ani",OTC,A03AD02
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. Al/Al x 10 compr. - 3
ani",OTC,A03AD02
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 2 blist. Al/Al x 10 compr. - 3
ani",OTC,A03AD02
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 10 compr. -
3 ani",OTC,A03AD02
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 2 blist. PVC/Al x 10 compr. -
3 ani",OTC,A03AD02
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 24 compr. -
3 ani",OTC,A03AD02
NO-SPALGIN®,COMBINATII,COMPR.,,"CHINOIN PHARMACEUTICALS &
CHEMICAL WORKS CO. LTD - UNGARIA",Cutie x 2 blist. Al/Al x 6 compr. - 3 ani,OTC,N02BE51
NOLPANTA 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie x 1 blist. OPA-Al-PVC/Al x 7
compr. gastr. - 3 ani",OTC,A02BC02
NOLPANTA 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie x 2 blist. OPA-Al-PVC/Al x 7
compr. gastr. - 3 ani",OTC,A02BC02
NOLPAZAL 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie cu 1 blist. OPA/Al/PVC-Al x 7
compr. gastrorez. - 5 ani",OTC,A02BC02
NOLPAZAL 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie cu 2 blist. OPA/Al/PVC-Al x 7
compr. gastrorez. - 5 ani",OTC,A02BC02
NOLPAZAL 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie cu 1 blist. OPA/Al/PVC-Al x 14
compr. gastrorez. - 5 ani",OTC,A02BC02
NOSTAMINE®,COMBINATII,"PIC. OFT./NAZALE.SO
L.",,E.I.P.I.CO. MED S.R.L. - ROMANIA,"Cutie x 1 flacon x 10 ml - 3 ani-dupa ambalatra pt. comercializare; 28
zile-dupa prima deschidere a flac.",OTC,S01GA51
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,Cutie cu 1 blist. PVC-PVDC/Al x 2 caps. moi - 2 ani,OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 4
caps. moi - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 6
caps. moi - 2 ani",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 blist. PVC-PVDC/Al x 8
caps. moi - 2 ani",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 blist. PVC-PVDC/Al x 10
caps. moi - 2 ani",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 blist. PVC-PVDC/Al x 12
caps. moi - 2 ani",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 blist. PVC-PVDC/Al x 16
caps. moi - 2 ani",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 blist. PVC-PVDC/Al x 20
caps. moi - 2 ani",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 blist. PVC-PVDC/Al x 24
caps. moi - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,Cutie cu 1 blist. PVC-PVDC40/Al x 6 draj. - 2 ani,OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC90/Al x 6
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC40/Al x 12
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC90/Al x 12
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC40/Al x 8
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC90/Al x 8
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC40/Al x 12
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC90/Al x 12
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 4 blist. PVC-PVDC40/Al x 12
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 4 blist. PVC-PVDC90/Al x 12
draj. - 2 ani",OTC,M01AE01
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 3 plicuri unidoza din
hartie/Al/PE cu pulb. orala - 3",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",,
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 4 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 5 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 6 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 8 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 10 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 12 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01
