Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
MUCOSOLVAN MAX,AMBROXOLUM,CAPS. ELIB. PREL.,75mg,BOEHRINGER INGELHEIM PHARMA GMBH&CO.KG - GERMANIA,"Cutie x 10 blist. PVC-PVDC/Al x 10
caps. elib. prel. - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
MUCOVIM 100 mg,ACETYLCYSTEINUM,PULB. PT. SOL. ORALA,100 mg,VIM SPECTRUM SRL - ROMANIA,"Cutie cu 10 plicuri unidoza din
PE-Al-hartie x 3 g pulb. pt. sol. orala - 2 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
MUCOVIM 200,ACETYLCYSTEINUM,CAPS.,200mg,VIM SPECTRUM SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 caps. - 2
ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
N - PARACETAMOL,PARACETAMOLUM,COMPR.,500mg,MEDUMAN  SA - ROMANIA,Cutie x 1 flac. x 20 compr. - 2 ani,OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
NAABAK,"ACIDUM N-ACETIL ASPARTIL
GLUTAMICUM",PIC. OFT..SOL.,49mg/ml,LABORATOIRES THEA - FRANTA,"Cutie x 1 flac. din PEJD x 10 ml
pic.oft.. sol. - 2 ani",OTC,S01GX03,250 mg three times daily,Consult a healthcare provider,Neurological disorders.cognitive support
NAFA-GAL  0.3 mg/ml,NAPHAZOLINUM,"PICATURI OFT..
SOL.",0.3mg/ml,"RANBAXY UK LIMITED - MAREA
BRITANIE","Cutie x 1 flacon din PEJD opaca  x
10ml pic. oft.. sol. - 2 ani",OTC,S01GA01,0.5-1 mg in each nostril twice daily,Consult a healthcare provider,Nasal congestion
NAFA-GAL 0.3mg/ml,NAPHAZOLINUM,"PICATURI OFT..
SOL.",0.3mg/ml,TERAPIA S.A. - ROMANIA,"Cutie x 1 flacon din PEJD opaca  x
10ml pic. oft.. sol. - 2 ani",OTC,S01GA01,0.5-1 mg in each nostril twice daily,Consult a healthcare provider,Nasal congestion
NAFTIFINA ATB 10 mg/g,NAFTIFINUM,CREMA,10mg/g,ANTIBIOTICE S.A. - ROMANIA,"Cutie cu 1 tub din Al x 15 g crema - 4
ani",OTC,D01AE22,100 mg once daily,Consult a healthcare provider,Fungal infections of the skin
NALGESIN 220 mg,NAPROXENUM,COMPR. FILM.,220mg,KRKA. D.D.. NOVO MESTO - SLOVENIA,"Cutie cu blist. PVC/Al x 10 compr. film.
- 2 ani",OTC,M01AE02,250-500 mg twice daily,Consult a healthcare provider,Pain.inflammation
NALGESIN 220 mg,NAPROXENUM,COMPR. FILM.,220mg,KRKA. D.D.. NOVO MESTO - SLOVENIA,"Cutie cu blist. PVC/Al x 20 compr. film.
- 2 ani",OTC,M01AE02,250-500 mg twice daily,Consult a healthcare provider,Pain.inflammation
NALGESIN 220 mg,NAPROXENUM,COMPR. FILM.,220mg,KRKA. D.D.. NOVO MESTO - SLOVENIA,"Cutie cu blist. PVC/Al x 30 compr. film.
- 2 ani",OTC,M01AE02,250-500 mg twice daily,Consult a healthcare provider,Pain.inflammation
NASIVIN  0.5 mg/ml,OXYMETAZOLINUM,PICATURI NAZALE-SOL.,220mg,MERCK SELBSTMEDIKATION - GERMANIA,"Cutie cu 1 flac. din sticla de culoare bruna x 10 ml pic. nazale. sol. cu capac din PP cu picurator din sticla incolora. prevazut cu o para pt. aspiratie - 2 ani-dupa ambalarea pt.
comercializare; dupa prima",OTC,R01AA05,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
NASIVIN  0.5 mg/ml,OXYMETAZOLINUM,PICATURI NAZALE-SOL.,220mg,MERCK SELBSTMEDIKATION - GERMANIA,deschidere-6 luni,,,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
NEDIS 20 mg,PANTOPRAZOLUM,"COMPR. FILM.
GASTROREZ.",20mg,"DR. REDDY'S LABORATORIES
ROMÂNIA S.R.L. - ROMANIA","Cutie cu un blist. din OPA-Al-PVC/Al x
14 compr. film. gastrorezistente - 3 ani",OTC,A02BC02,40 mg daily before meals,Consult a healthcare provider,Gastroesophageal reflux disease.ulcers
NEO - ENTEROSEPTOL,LOPERAMIDUM,CAPS.,2mg,"SPECIFAR SA
PHARMACEUTICALS - GRECIA",Cutie x 1 blist. Al/PVC x 6 caps. - 5 ani,OTC,A07DA03,2-4 mg 1-2 times daily,Consult a healthcare provider,Diarrhea
NEO-BRONCHOL 15 mg,AMBROXOLUM,PASTILE,15mg,"FARMACEUTICA REMEDIA S.A. -
ROMANIA","Cutie cu 2 blist. PVC/Al x 10 pastile - 4
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
"NICORETTE FRESHMINT 1
mg/spray",NICOTINUM,"SPRAY BUCOFARINGIAN
.SOL",1mg/spray,MCNEIL AB - SUEDIA,"Cutie cu 1 flac. din PET introdus
intr-un dispozitiv cu pompa mecanica de pulverizare a 13.2 ml spray bucofaringian. sol. - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
"NICORETTE FRESHMINT 1
mg/spray",NICOTINUM,"SPRAY BUCOFARINGIAN
.SOL",1mg/spray,MCNEIL AB - SUEDIA,"Cutie cu 2 flac. din PET introdus
intr-un dispozitiv cu pompa mecanica de pulverizare a 13.2 ml spray bucofaringian. sol. - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
"NICOTINAT DE METIL - RICHTER
30mg/g",METHYLII NICOTINAS,UNGUENT,30mg/g,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA","Cutie x 1 tub din Al x 50 g unguent - 3
ani",OTC,M02AX10,20 mg daily,Consult a healthcare provider,Nicotine replacement therapy
NIQUITIN CLEAR 14 mg,NICOTINUM,PLASTURE TRANSDERMIC,78mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 7 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NIQUITIN CLEAR 14 mg,NICOTINUM,PLASTURE TRANSDERMIC,78mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 14 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NIQUITIN CLEAR 21 mg,NICOTINUM,PLASTURE TRANSDERMIC,114mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 7 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NIQUITIN CLEAR 21 mg,NICOTINUM,PLASTURE TRANSDERMIC,114mg,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 14 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NIQUITIN CLEAR 7mg,NICOTINUM,PLASTURE,36mg,GLAXOSMITHKLINE CONSUMER,Cutie x 7 plicuri x 1 plasture,OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NIQUITIN CLEAR 7mg,NICOTINUM,TRANSDERMIC,36mg,HEALTHCARE - MAREA BRITANIE,transdermic - 2 ani,,,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NIQUITIN CLEAR 7mg,NICOTINUM,TRANSDERMIC,36mg,HEALTHCARE - MAREA BRITANIE,"Cutie x 14 plicuri x 1 plasture
transdermic - 2 ani",OTC,N07BA01,Varies with product (smoking cessation),Not recommended for children,Smoking cessation
NO-SPA 40 mg,DROTAVERINUM,COMPR.,40mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 20 compr. -
3 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NO-SPA 40 mg,DROTAVERINUM,COMPR.,40mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 24 compr. -
3 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. Al/Al x 10 compr. - 3
ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 2 blist. Al/Al x 10 compr. - 3
ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 10 compr. -
3 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 2 blist. PVC/Al x 10 compr. -
3 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NO-SPA FORTE 80 mg,DROTAVERINUM,COMPR.,80mg,"SANOFI-AVENTIS ROMANIA
S.R.L. - ROMANIA","Cutie cu 1 blist. PVC/Al x 24 compr. -
3 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
NOLPANTA 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie x 1 blist. OPA-Al-PVC/Al x 7
compr. gastr. - 3 ani",OTC,A02BC02,40 mg daily before meals,Consult a healthcare provider,Gastroesophageal reflux disease.ulcers
NOLPANTA 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie x 2 blist. OPA-Al-PVC/Al x 7
compr. gastr. - 3 ani",OTC,A02BC02,40 mg daily before meals,Consult a healthcare provider,Gastroesophageal reflux disease.ulcers
NOLPAZAL 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie cu 1 blist. OPA/Al/PVC-Al x 7
compr. gastrorez. - 5 ani",OTC,A02BC02,40 mg daily before meals,Consult a healthcare provider,Gastroesophageal reflux disease.ulcers
NOLPAZAL 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie cu 2 blist. OPA/Al/PVC-Al x 7
compr. gastrorez. - 5 ani",OTC,A02BC02,40 mg daily before meals,Consult a healthcare provider,Gastroesophageal reflux disease.ulcers
NOLPAZAL 20 mg,PANTOPRAZOLUM,COMPR. GASTROREZ.,20mg,KRKA D.D.. NOVO MESTO - SLOVENIA,"Cutie cu 1 blist. OPA/Al/PVC-Al x 14
compr. gastrorez. - 5 ani",OTC,A02BC02,40 mg daily before meals,Consult a healthcare provider,Gastroesophageal reflux disease.ulcers
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,Cutie cu 1 blist. PVC-PVDC/Al x 2 caps. moi - 2 ani,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 4
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 6
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 8
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 10
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 12
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 16
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 20
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,CAPS. MOI,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC/Al x 24
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,Cutie cu 1 blist. PVC-PVDC40/Al x 6 draj. - 2 ani,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC90/Al x 6
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC40/Al x 12
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 1 blist. PVC-PVDC90/Al x 12
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC40/Al x 8
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC90/Al x 8
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC40/Al x 12
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 blist. PVC-PVDC90/Al x 12
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 4 blist. PVC-PVDC40/Al x 12
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 200 mg,IBUPROFENUM,DRAJ.,200mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 4 blist. PVC-PVDC90/Al x 12
draj. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 2 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 3 plicuri unidoza din
hartie/Al/PE cu pulb. orala - 3",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",,,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 4 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 5 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 6 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 8 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 10 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 12 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 13 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 14 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3
ani-dupa ambalarea pt.",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,comercializare; dupa dizolvarea pulberii-se utilizeaza imediat,,,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 15 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN EXPRESS 400 mg,IBUPROFENUM,PULBERE ORALA,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu 16 plicuri unidoza din hartie/Al/PE cu pulb. orala - 3 ani-dupa ambalarea pt. comercializare; dupa dizolvarea
pulberii-se utilizeaza imediat",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"NUROFEN EXPRESS FORTE 400
mg",IBUPROFENUM,CAPS. MOI,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,Cutie cu blist. PVC-PVDC/Al x 2 caps. moi - 2 ani,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"NUROFEN EXPRESS FORTE 400
mg",IBUPROFENUM,CAPS. MOI,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu blist. PVC-PVDC/Al x 4 caps.
moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"NUROFEN EXPRESS FORTE 400
mg",IBUPROFENUM,CAPS. MOI,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu blist. PVC-PVDC/Al x 6 caps.
moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"NUROFEN EXPRESS FORTE 400
mg",IBUPROFENUM,CAPS. MOI,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu blist. PVC-PVDC/Al x 8 caps.
moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"NUROFEN EXPRESS FORTE 400
mg",IBUPROFENUM,CAPS. MOI,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu blist. PVC-PVDC/Al x 10
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"NUROFEN EXPRESS FORTE 400
mg",IBUPROFENUM,CAPS. MOI,400mg,RECKITT BENCKISER HEALTHCARE INTERNATIONAL LTD. - MAREA BRITANIE,"Cutie cu blist. PVC-PVDC/Al x 12
caps. moi - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
NUROFEN FORTE,IBUPROFENUM,DRAJ.,400mg,"RECKITT BENCKISER HEALTHCARE INT. LTD. - MAREA
BRITANIE",Cutie x 1 blist. Al/PVC x 12 draj. - 3 ani,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
